Station, Fav, StationName, HydStatus, Prov, Latitude(Degrees), Longitude(Degrees), DrainageArea(km≤), Years, From, To, Reg., Flow, Level, Sed, OperSched, RealTime, RHBN, Region, Datum, Operator
01AO010, , FRENCH LAKE AT LAKEVILLE CORNER, Active, NB,45.9088,-66.2564, ,39,1980,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AO011, , SAINT JOHN RIVER AT UPPER GAGETOWN, Active, NB,45.8473,-66.2349, ,25,1994,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AO012, , SAINT JOHN RIVER AT GAGETOWN, Active, NB,45.7687,-66.1404, ,25,1994,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP001, , KENNEBECASIS RIVER AT NORTON, Discontinued, NB,45.6358,-65.7017,1210,9,1918,1926, , True, , , Continuous, , , DARTMOUTH, , 
01AP002, , CANAAN RIVER AT EAST CANAAN, Active, NB,46.0724,-65.3664,668,75,1925,2019, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP003, , SAINT JOHN RIVER AT OAK POINT, Active, NB,45.5194,-66.0766, ,96,1923,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP004, , KENNEBECASIS RIVER AT APOHAQUI, Active, NB,45.7014,-65.6017,1100,58,1961,2018, , True, True, True, Continuous, True, True, DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP005, , SAINT JOHN RIVER AT SAINT JOHN, Active, NB,45.2734,-66.0889, ,53,1966,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP006, , NEREPIS RIVER NEAR FOWLERS CORNER, Active, NB,45.5034,-66.319,293,28,1976,2018, , True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP009, , PARLEE BROOK BELOW ARNOLDS BRIDGE, Discontinued, NB,45.6725,-65.4183,35.4,5,1989,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AP010, , OTNABOG STREAM ABOVE OTNABOG LAKE, Discontinued, NB,45.7055,-66.192, ,4,2009,2012, , , True, , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AQ001, , LEPREAU RIVER AT LEPREAU, Active, NB,45.1698,-66.4683,239,104,1916,2019, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AQ002, , MAGAGUADAVIC RIVER AT ELMCROFT, Active, NB,45.2733,-66.8067,1420,94,1917,2019, True, True, True, , Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AQ003, , WEST MUSQUASH RIVER AT MUSQUASH, Discontinued, NB,45.1881,-66.3517,210,9,1920,1934, True, True, , , Continuous, , , DARTMOUTH, , NEW BRUNSWICK ELECTRIC POWER COMMISSION
01AQ004, , EAST MUSQUASH RIVER AT MUSQUASH, Discontinued, NB,45.2047,-66.3261,179,8,1920,1934, True, True, , , Continuous, , , DARTMOUTH, , NEW BRUNSWICK ELECTRIC POWER COMMISSION
01AQ005, , MAGAGUADAVIC RIVER AT SECOND FALLS, Discontinued, NB,45.2317,-66.8433,1540,6,1928,1933, True, True, , , Continuous, , , DARTMOUTH, , 
01AQ006, , LITTLE LEPREAU RIVER NEAR LEPREAU, Discontinued, NB,45.1392,-66.4483,38.3,1,1976,1976, , True, , , Seasonal, , , DARTMOUTH, ASSUMED DATUM, 
01AQ007, , MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC, Active, NB,45.7197,-67.1836, ,39,1979,2018, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AQ008, , PISKAHEGAN STREAM NEAR PLEASANT MOUNTAIN, Discontinued, NB,45.4181,-66.8869,197,13,1983,1995, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AQ009, , LAKE UTOPIA AT CANAL, Discontinued, NB,45.1603,-66.8278, ,9,1985,1993, True, , True, , Seasonal, , , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR001, , DENNIS STREAM AT MOORES MILLS, Discontinued, NB,45.2928,-67.2722,62.2,2,1919,1920, , True, , , Seasonal, , , DARTMOUTH, , 
01AR002, , EEL BROOK NEAR NORTH HEAD, Discontinued, NB,44.7914,-66.7814,2.85,4,1919,1967, , True, , , Miscellaneous, , , DARTMOUTH, , 
01AR003, , ST. CROIX RIVER NEAR BAILEYVILLE, Discontinued, NB,45.2653,-67.4767,3420,65,1919,1983, True, True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AR004, , ST. CROIX RIVER AT VANCEBORO, Active, ME,45.5689,-67.4297,1080,92,1928,2019, True, True, , , Continuous, , , DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, UNITED STATES GEOLOGICAL SURVEY
01AR005, , ST. CROIX RIVER AT BARING, Active, ME,45.1367,-67.3181,3550,45,1975,2019, True, True, , , Continuous, , , DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, UNITED STATES GEOLOGICAL SURVEY
01AR006, , DENNIS STREAM NEAR ST. STEPHEN, Active, NB,45.209,-67.2622,115,53,1966,2018, True, True, True, True, Continuous, True, , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR007, , BOCABEC RIVER AT OUTLET OF KERR LAKE, Discontinued, NB,45.2075,-67.0194,12.4,3,1966,1968, , True, , , Seasonal, , , DARTMOUTH, , 
01AR008, , BOCABEC RIVER ABOVE TIDE, Discontinued, NB,45.1931,-66.9989,43,14,1966,1979, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01AR009, , GRAND LAKE AT FOREST CITY, Active, ME,45.6649,-67.7359, ,51,1969,2019, True, , True, , Continuous, True, , DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR010, , SPEDNIC LAKE AT ST. CROIX, Active, NB,45.5692,-67.4273, ,52,1967,2019, True, , True, , Continuous, True, , DARTMOUTH, GEODETIC SURVEY OF CANADA DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR011, , FOREST CITY STREAM BELOW FOREST CITY DAM, Active, ME,45.6642,-67.7336,357,44,1975,2019, True, True, True, , Continuous, True, , DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR012, , CHAMCOOK STREAM AT LITTLE CHAMCOOK LAKE OUTLET, Discontinued, NB,45.1572,-67.0961, ,26,1968,1993, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR013, , GRAND FALLS FLOWAGE AT GRAND FALLS, Active, ME,45.2743,-67.4796, ,41,1980,2020, True, , True, , Continuous, True, , DARTMOUTH, INTERNATIONAL BOUNDARY COMMISSION DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01AR014, , ST. CROIX RIVER AT MILLTOWN DAM, Active, NB,45.1752,-67.2929, ,14,2006,2019, True, , True, , Continuous, True, , DARTMOUTH, NATIONAL GEODETIC VERTICAL DATUM 1929 CORP OF ENG., WATER SURVEY OF CANADA (DOE) (CANADA)
01BA001, , RESTIGOUCHE RIVER ABOVE KEDGWICK RIVER, Discontinued, NB,47.6564,-67.4942,1570,7,1973,1979, , True, , , Continuous, , , DARTMOUTH, ASSUMED DATUM, 
01BC001, , RESTIGOUCHE RIVER BELOW KEDGWICK RIVER, Active, NB,47.6671,-67.4831,3160,57,1962,2018, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01BD001, , MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN, Discontinued, QC,48.0844,-67.0986,2770,4,1965,1968, True, True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BD002, , MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN, Discontinued, QC,48.0867,-67.1006,2760,32,1968,1999, , True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BD004, , MATAPEDIA (LAC) A VAL-BRILLANT, Discontinued, QC,48.5339,-67.5456,558,18,1966,1983, , True, True, , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BD005, , LAC AU SAUMON, Discontinued, QC,48.4211,-67.3242,1210,1,1968,1968, , , True, , Seasonal, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BD008, , MATAPEDIA (RIVIERE) PRES DE AMQUI, Active, QC,48.4917,-67.45,558,31,1982,2013, , True, True, , Continuous, True, , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BD009, , MATAPEDIA (RIVIERE) A 4 KM EN AMONT DE L'ASSEMETQUAGAN, Active, QC,48.1079,-67.1302,2756,18,1996,2013, , True, , , Continuous, True, , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BE001, , UPSALQUITCH RIVER AT UPSALQUITCH, Active, NB,47.8325,-66.8871,2270,91,1918,2018, , True, True, , Continuous, True, True, DARTMOUTH, ASSUMED DATUM, WATER SURVEY OF CANADA (DOE) (CANADA)
01BF001, , NOUVELLE (RIVIERE) AU PONT, Discontinued, QC,48.1572,-66.3494,1140,38,1964,2001, , True, , , Continuous, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BF002, , NOUVELLE (RIVIERE) EN AVAL DU PONT, Discontinued, QC,48.1356,-66.3194,1160,4,1967,1970, True, , True, , Seasonal, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BF003, , NOUVELLE (RIVIERE) EN AMONT DU PONT, Discontinued, QC,48.1617,-66.3803,867,4,1967,1970, True, , True, , Seasonal, , , QUEBEC CITY, ARBITRAIRE, MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
01BF004, , NOUVELLE (RIVIERE) A 0 2 KM EN AMONT DU PONT-ROUTE 132 A NOUVELLE, Active, QC,48.1588,-66.3488,1139,12,2002,2013, , True, , , Continuous, True, , QUEBEC CITY, , MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
